 Q1    |  Q2    |  Q3    |  Total 
---------------------------------
0.7500 | 0.7500 | 0.7500 | 2293.5
0.7500 | 0.7500 | 0.8333 | 2234.5
0.7500 | 0.7500 | 0.9167 | 1952.0
0.7500 | 0.7500 | 1.0000 | 1846.0
0.7500 | 0.8333 | 0.7500 | 2104.0
0.7500 | 0.8333 | 0.8333 | 1969.5
0.7500 | 0.8333 | 0.9167 | 1861.5
0.7500 | 0.8333 | 1.0000 | 1948.5
0.7500 | 0.9167 | 0.7500 | 2045.5
0.7500 | 0.9167 | 0.8333 | 1983.0
0.7500 | 0.9167 | 0.9167 | 2108.5
0.7500 | 0.9167 | 1.0000 | 2414.5
0.7500 | 1.0000 | 0.7500 | 2223.0
0.7500 | 1.0000 | 0.8333 | 2179.0
0.7500 | 1.0000 | 0.9167 | 1835.0
0.7500 | 1.0000 | 1.0000 | 1977.0
0.8333 | 0.7500 | 0.7500 | 1883.5
0.8333 | 0.7500 | 0.8333 | 2089.5
0.8333 | 0.7500 | 0.9167 | 2106.5
0.8333 | 0.7500 | 1.0000 | 2219.5
0.8333 | 0.8333 | 0.7500 | 2385.5
0.8333 | 0.8333 | 0.8333 | 2125.0
0.8333 | 0.8333 | 0.9167 | 2017.5
0.8333 | 0.8333 | 1.0000 | 1810.5
0.8333 | 0.9167 | 0.7500 | 1937.5
0.8333 | 0.9167 | 0.8333 | 1994.0
0.8333 | 0.9167 | 0.9167 | 2093.0
0.8333 | 0.9167 | 1.0000 | 2235.5
0.8333 | 1.0000 | 0.7500 | 2282.5
0.8333 | 1.0000 | 0.8333 | 2090.0
0.8333 | 1.0000 | 0.9167 | 2222.5
0.8333 | 1.0000 | 1.0000 | 1794.0
0.9167 | 0.7500 | 0.7500 | 1981.5
0.9167 | 0.7500 | 0.8333 | 1957.5
0.9167 | 0.7500 | 0.9167 | 1959.5
0.9167 | 0.7500 | 1.0000 | 2143.5
0.9167 | 0.8333 | 0.7500 | 2356.0
0.9167 | 0.8333 | 0.8333 | 2225.0
0.9167 | 0.8333 | 0.9167 | 2183.5
0.9167 | 0.8333 | 1.0000 | 1904.5
0.9167 | 0.9167 | 0.7500 | 1925.0
0.9167 | 0.9167 | 0.8333 | 1923.5
0.9167 | 0.9167 | 0.9167 | 1986.5
0.9167 | 0.9167 | 1.0000 | 2175.5
0.9167 | 1.0000 | 0.7500 | 2196.0
0.9167 | 1.0000 | 0.8333 | 2442.0
0.9167 | 1.0000 | 0.9167 | 2122.0
0.9167 | 1.0000 | 1.0000 | 1978.5
1.0000 | 0.7500 | 0.7500 | 1904.5
1.0000 | 0.7500 | 0.8333 | 1874.5
1.0000 | 0.7500 | 0.9167 | 2007.5
1.0000 | 0.7500 | 1.0000 | 1990.5
1.0000 | 0.8333 | 0.7500 | 2248.5
1.0000 | 0.8333 | 0.8333 | 2294.0
1.0000 | 0.8333 | 0.9167 | 2179.5
1.0000 | 0.8333 | 1.0000 | 2221.0
1.0000 | 0.9167 | 0.7500 | 1865.5
1.0000 | 0.9167 | 0.8333 | 1850.0
1.0000 | 0.9167 | 0.9167 | 1968.5
1.0000 | 0.9167 | 1.0000 | 1946.0
1.0000 | 1.0000 | 0.7500 | 2137.0
1.0000 | 1.0000 | 0.8333 | 2447.0
1.0000 | 1.0000 | 0.9167 | 2214.0
1.0000 | 1.0000 | 1.0000 | 2158.0
