 Q1    |  Q2    |  Q3    |  Total 
---------------------------------
0.7500 | 0.7500 | 0.7500 | 1987.5
0.7500 | 0.7500 | 0.8333 | 2202.5
0.7500 | 0.7500 | 0.9167 | 1940.5
0.7500 | 0.7500 | 1.0000 | 1918.5
0.7500 | 0.8333 | 0.7500 | 1907.5
0.7500 | 0.8333 | 0.8333 | 1937.5
0.7500 | 0.8333 | 0.9167 | 2180.5
0.7500 | 0.8333 | 1.0000 | 2276.5
0.7500 | 0.9167 | 0.7500 | 2335.0
0.7500 | 0.9167 | 0.8333 | 2037.5
0.7500 | 0.9167 | 0.9167 | 2145.0
0.7500 | 0.9167 | 1.0000 | 1929.0
0.7500 | 1.0000 | 0.7500 | 1860.0
0.7500 | 1.0000 | 0.8333 | 2038.0
0.7500 | 1.0000 | 0.9167 | 2064.0
0.7500 | 1.0000 | 1.0000 | 2167.5
0.8333 | 0.7500 | 0.7500 | 2286.0
0.8333 | 0.7500 | 0.8333 | 2219.0
0.8333 | 0.7500 | 0.9167 | 2225.0
0.8333 | 0.7500 | 1.0000 | 1783.5
0.8333 | 0.8333 | 0.7500 | 1986.0
0.8333 | 0.8333 | 0.8333 | 1885.0
0.8333 | 0.8333 | 0.9167 | 2091.0
0.8333 | 0.8333 | 1.0000 | 2088.0
0.8333 | 0.9167 | 0.7500 | 2275.5
0.8333 | 0.9167 | 0.8333 | 2298.5
0.8333 | 0.9167 | 0.9167 | 2231.0
0.8333 | 0.9167 | 1.0000 | 1908.0
0.8333 | 1.0000 | 0.7500 | 1962.0
0.8333 | 1.0000 | 0.8333 | 1847.5
0.8333 | 1.0000 | 0.9167 | 1905.5
0.8333 | 1.0000 | 1.0000 | 2218.0
0.9167 | 0.7500 | 0.7500 | 2277.0
0.9167 | 0.7500 | 0.8333 | 2314.0
0.9167 | 0.7500 | 0.9167 | 2078.5
0.9167 | 0.7500 | 1.0000 | 2152.5
0.9167 | 0.8333 | 0.7500 | 1906.0
0.9167 | 0.8333 | 0.8333 | 1922.0
0.9167 | 0.8333 | 0.9167 | 2022.5
0.9167 | 0.8333 | 1.0000 | 2019.0
0.9167 | 0.9167 | 0.7500 | 2055.5
0.9167 | 0.9167 | 0.8333 | 2356.0
0.9167 | 0.9167 | 0.9167 | 2258.0
0.9167 | 0.9167 | 1.0000 | 2205.5
0.9167 | 1.0000 | 0.7500 | 1806.0
0.9167 | 1.0000 | 0.8333 | 1948.0
0.9167 | 1.0000 | 0.9167 | 1945.5
0.9167 | 1.0000 | 1.0000 | 2074.0
1.0000 | 0.7500 | 0.7500 | 2062.0
1.0000 | 0.7500 | 0.8333 | 2191.5
1.0000 | 0.7500 | 0.9167 | 2409.5
1.0000 | 0.7500 | 1.0000 | 2212.5
1.0000 | 0.8333 | 0.7500 | 1966.5
1.0000 | 0.8333 | 0.8333 | 1901.5
1.0000 | 0.8333 | 0.9167 | 1882.5
1.0000 | 0.8333 | 1.0000 | 1956.0
1.0000 | 0.9167 | 0.7500 | 2066.5
1.0000 | 0.9167 | 0.8333 | 2233.5
1.0000 | 0.9167 | 0.9167 | 2303.0
1.0000 | 0.9167 | 1.0000 | 2122.0
1.0000 | 1.0000 | 0.7500 | 2223.0
1.0000 | 1.0000 | 0.8333 | 1849.0
1.0000 | 1.0000 | 0.9167 | 1923.5
1.0000 | 1.0000 | 1.0000 | 1955.0
